Fecha,Encuestadora,Candidato,Porcentaje,Muestra,Margen_Error
2025-12-15,WAA,Enrique Peñalosa,0.7,1500,2.5%
2025-12-15,WAA,Alejandro Gaviria,0.4,1500,2.5%
2025-12-15,WAA,Carlos Caicedo,0.3,1500,2.5%
2025-12-15,WAA,Ninguno,11.8,1500,2.5%
2025-12-15,WAA,NS/NR,2.6,1500,2.5%
2026-01-10,Atlas Intel,Abelardo de la Espriella,28.0,3000,1.8%
2026-01-10,Atlas Intel,Iván Cepeda,26.5,3000,1.8%
2026-01-10,Atlas Intel,Sergio Fajardo,9.4,3000,1.8%
2026-01-10,Atlas Intel,Paloma Valencia,5.1,3000,1.8%
2026-01-10,Atlas Intel,Juan Carlos Pinzón,5.1,3000,1.8%
2026-01-10,Atlas Intel,Enrique Peñalosa,2.3,3000,1.8%
2026-01-10,Atlas Intel,Claudia López,2.6,3000,1.8%
2026-01-10,Atlas Intel,Juan Daniel Oviedo,1.8,3000,1.8%
2026-01-10,Atlas Intel,Aníbal Gaviria,1.3,3000,1.8%
2026-01-10,Atlas Intel,Juan Manuel Galán,1.1,3000,1.8%
2026-01-10,Atlas Intel,David Luna,0.9,3000,1.8%
2026-01-10,Atlas Intel,Vicky Dávila,0.9,3000,1.8%
2026-01-10,Atlas Intel,Mauricio Cárdenas,0.4,3000,1.8%
2026-01-10,Atlas Intel,Daniel Quintero,0.4,3000,1.8%
2026-01-10,Atlas Intel,Roy Barreras,0.2,3000,1.8%
2026-01-10,Atlas Intel,Ninguno,7.2,3000,1.8%
2026-01-10,Atlas Intel,Blanco,5.7,3000,1.8%
2026-01-10,Atlas Intel,NS/NR,1.1,3000,1.8%
